batch,sort,QID,PROPERTY,VALUE, admin note,date enhanced,method,note
1,149,Q1209,P11,Q18807,associate Linking Lost Jazz Shrines project with Nina Simone,4/3/2020,manual,
1,150,Q126,P11,Q18807,associate Linking Lost Jazz Shrines project with James Brown,4/3/2020,manual,
1,151,Q129,P11,Q18807,associate Linking Lost Jazz Shrines project with Harry Belafonte,4/3/2020,manual,
1,152,Q1393,P11,Q18807,associate Linking Lost Jazz Shrines project with Oscar Brown,4/3/2020,manual,
1,153,Q1403,P11,Q18807,associate Linking Lost Jazz Shrines project with Reggie Workman,4/3/2020,manual,
1,154,Q141,P11,Q18807,associate Linking Lost Jazz Shrines project with Gene Krupa,4/3/2020,manual,
1,155,Q1432,P11,Q18807,associate Linking Lost Jazz Shrines project with Malcolm X,4/3/2020,manual,
1,156,Q1463,P11,Q18807,associate Linking Lost Jazz Shrines project with Fats Domino,4/3/2020,manual,
1,157,Q1567,P11,Q18807,associate Linking Lost Jazz Shrines project with Lee Blair,4/3/2020,manual,
1,158,Q165,P11,Q18807,associate Linking Lost Jazz Shrines project with Tito Puente,4/3/2020,manual,
1,159,Q1727,P11,Q18807,associate Linking Lost Jazz Shrines project with Shirley Scott,4/3/2020,manual,
1,160,Q1737,P11,Q18807,associate Linking Lost Jazz Shrines project with Lou Donaldson,4/3/2020,manual,
1,161,Q1759,P11,Q18807,associate Linking Lost Jazz Shrines project with Sam Jones,4/3/2020,manual,
1,162,Q1783,P11,Q18807,associate Linking Lost Jazz Shrines project with King Pleasure,4/3/2020,manual,
1,163,Q1834,P11,Q18807,associate Linking Lost Jazz Shrines project with James Baldwin,4/3/2020,manual,
1,164,Q187,P11,Q18807,associate Linking Lost Jazz Shrines project with Roy Hargrove,4/3/2020,manual,
1,165,Q18810,Aen,"""All City Chorus""",add alias,4/3/2020,manual,
1,166,Q18810,Len,"""All-City Chorus""",add label,4/3/2020,manual,
1,167,Q18811,Aen,"""Baritone Saxophonists""",add alias,4/3/2020,manual,
1,168,Q18811,Len,"""Baritone Saxophones""",add label,4/3/2020,manual,
1,169,Q18812,Len,"""Brooklyn Repertory Ensemble""",add label,4/3/2020,manual,
1,170,Q18813,Aen,"""The Teenagers""",add alias,4/3/2020,manual,
1,171,Q18813,Len,"""Frankie Lymón and the Teenagers""",add label,4/3/2020,manual,
1,172,Q18814,Len,"""Jazz Contemporaries""",add label,4/3/2020,manual,
1,173,Q18815,Len,"""Jazz Hounds""",add label,4/3/2020,manual,
1,174,Q18816,Len,"""Jazz Standard""",add label,4/3/2020,manual,
1,175,Q18817,Len,"""MJT+3""",add label,4/3/2020,manual,
1,176,Q18818,Len,"""Mtume""",add label,4/3/2020,manual,
1,177,Q18819,Len,"""Ray Abrams Big Band""",add label,4/3/2020,manual,
1,178,Q18820,Len,"""Roy Haynes Quartet""",add label,4/3/2020,manual,
1,179,Q18821,Len,"""Run DMC""",add label,4/3/2020,manual,
1,180,Q18822,Len,"""Slide Hampton Octet""",add label,4/3/2020,manual,
1,181,Q18823,Len,"""Swing to Bop Quintet""",add label,4/3/2020,manual,
1,182,Q18824,Len,"""The Berry Brothers""",add label,4/3/2020,manual,
1,183,Q18825,Aen,"""The Messengers""",add alias,4/3/2020,manual,
1,184,Q18825,Len,"""The Jazz Messengers""",add label,4/3/2020,manual,
1,185,Q18826,Len,"""The Jazztet""",add label,4/3/2020,manual,
1,186,Q18827,Aen,"""Club 78""",add alias,4/3/2020,manual,
1,187,Q18827,Len,"""78 Club""",add label,4/3/2020,manual,
1,188,Q18828,Len,"""Arlington Inn""",add label,4/3/2020,manual,
1,189,Q18829,Aen,"""The Art""",add alias,4/3/2020,manual,
1,190,Q18829,Len,"""Art Theater""",add label,4/3/2020,manual,
1,191,Q18830,Aen,"""Club Baby Grand Brooklyn""",add alias,4/3/2020,manual,
1,192,Q18830,Aen,"""Club Baby Grand""",add alias,4/3/2020,manual,
1,193,Q18830,Len,"""Baby Grand Brooklyn""",add label,4/3/2020,manual,
1,194,Q18831,Aen,"""Club Baby Grand Harlem""",add alias,4/3/2020,manual,
1,195,Q18831,Aen,"""Club Baby Grand""",add alias,4/3/2020,manual,
1,196,Q18831,Len,"""Baby Grand Harlem""",add label,4/3/2020,manual,
1,197,Q18832,Len,"""Ben's""",add label,4/3/2020,manual,
1,198,Q18833,Aen,"""Birdland""",add alias,4/3/2020,manual,
1,199,Q18833,Len,"""Birdland (52nd Street)""",add label,4/3/2020,manual,
1,200,Q18834,Aen,"""Coronet""",add alias,4/3/2020,manual,
1,201,Q18834,Len,"""Blue Coronet""",add label,4/3/2020,manual,
1,202,Q18835,Len,"""Blue Note""",add label,4/3/2020,manual,
1,203,Q18836,Len,"""Branker's""",add label,4/3/2020,manual,
1,204,Q18837,Aen,"""BAM""",add alias,4/3/2020,manual,
1,205,Q18837,Len,"""Brooklyn Academy of Music""",add label,4/3/2020,manual,
1,206,Q18838,Len,"""Brooklyn Apollo""",add label,4/3/2020,manual,
1,207,Q18839,Len,"""Brooklyn Palace""",add label,4/3/2020,manual,
1,208,Q18840,Aen,"""Brownie's""",add alias,4/3/2020,manual,
1,209,Q18840,Len,"""Brownies""",add label,4/3/2020,manual,
1,210,Q18841,Len,"""Bucket of Blood""",add label,4/3/2020,manual,
1,211,Q18842,Len,"""Carroll Bar""",add label,4/3/2020,manual,
1,212,Q18843,Len,"""Cecil's""",add label,4/3/2020,manual,
1,213,Q18844,Len,"""Club 243""",add label,4/3/2020,manual,
1,214,Q18845,Len,"""Club 845""",add label,4/3/2020,manual,
1,215,Q18846,Len,"""Club Baron""",add label,4/3/2020,manual,
1,216,Q18847,Aen,"""La Marchal""",add alias,4/3/2020,manual,
1,217,Q18847,Len,"""Club La Marchal""",add label,4/3/2020,manual,
1,218,Q18848,Len,"""Count Basie Club (Harlem)""",add label,4/3/2020,manual,
1,219,Q18849,Len,"""Crescent Lounge""",add label,4/3/2020,manual,
1,220,Q18850,Len,"""Dizzy's Club""",add label,4/3/2020,manual,
1,221,Q18851,Len,"""Farmer John's""",add label,4/3/2020,manual,
1,222,Q18852,Len,"""Five Spot""",add label,4/3/2020,manual,
1,223,Q18853,Aen,"""Flamingo Club""",add alias,4/3/2020,manual,
1,224,Q18853,Len,"""Flamingo Lounge""",add label,4/3/2020,manual,
1,225,Q18854,Len,"""Grecian Cave""",add label,4/3/2020,manual,
1,226,Q18855,Aen,"""Half Note""",add alias,4/3/2020,manual,
1,227,Q18855,Len,"""Half Note Club""",add label,4/3/2020,manual,
1,228,Q18856,Len,"""Harlem Stage""",add label,4/3/2020,manual,
1,229,Q18857,Len,"""Jazz 966""",add label,4/3/2020,manual,
1,230,Q18858,Len,"""Jefferson Bar""",add label,4/3/2020,manual,
1,231,Q18859,Len,"""K & C Lounge""",add label,4/3/2020,manual,
1,232,Q18860,Len,"""Kingston Lounge""",add label,4/3/2020,manual,
1,233,Q18861,Len,"""Lennox Lounge""",add label,4/3/2020,manual,
1,234,Q18862,Aen,"""The Brevoort Theatre""",add alias,4/3/2020,manual,
1,235,Q18862,Len,"""Loew's Brevoort Theatre""",add label,4/3/2020,manual,
1,236,Q18863,Len,"""Lucky Spot""",add label,4/3/2020,manual,
1,237,Q18864,Len,"""Medger Evers College""",add label,4/3/2020,manual,
1,238,Q18865,Aen,"""Jumel Mansion""",add alias,4/3/2020,manual,
1,239,Q18865,Len,"""Morris-Jumel Mansion""",add label,4/3/2020,manual,
1,240,Q18866,Len,"""Moulin Rouge""",add label,4/3/2020,manual,
1,241,Q18867,Len,"""Palladium""",add label,4/3/2020,manual,
1,242,Q18868,Len,"""Paul's""",add label,4/3/2020,manual,
1,243,Q18869,Aen,"""Pookies""",add alias,4/3/2020,manual,
1,244,Q18869,Len,"""Pookie’s""",add label,4/3/2020,manual,
1,245,Q18870,Len,"""Pumpkin's""",add label,4/3/2020,manual,
1,246,Q18871,Aen,"""PCC""",add alias,4/3/2020,manual,
1,247,Q18871,Len,"""Putnam Central""",add label,4/3/2020,manual,
1,248,Q18872,Len,"""Putnam Theater""",add label,4/3/2020,manual,
1,249,Q18873,Len,"""Rustic Tavern""",add label,4/3/2020,manual,
1,250,Q18874,Len,"""Sankofa""",add label,4/3/2020,manual,
1,251,Q18875,Len,"""Savoy Ballroom""",add label,4/3/2020,manual,
1,252,Q18876,Len,"""Sista's Place""",add label,4/3/2020,manual,
1,253,Q18877,Len,"""Slave Theater""",add label,4/3/2020,manual,
1,254,Q18878,Aen,"""Slugs""",add alias,4/3/2020,manual,
1,255,Q18878,Len,"""Slug's""",add label,4/3/2020,manual,
1,256,Q18879,Len,"""Smuckers""",add label,4/3/2020,manual,
1,257,Q18880,Len,"""Solomon’s Porch""",add label,4/3/2020,manual,
1,258,Q18881,Aen,"""Sonia Ballroom""",add alias,4/3/2020,manual,
1,259,Q18881,Aen,"""Akbar Hall""",add alias,4/3/2020,manual,
1,260,Q18881,Len,"""Sonya Ballroom""",add label,4/3/2020,manual,
1,261,Q18882,Len,"""St. Nick's Pub""",add label,4/3/2020,manual,
1,262,Q18883,Aen,"""Sugar Hill Restaurant""",add alias,4/3/2020,manual,
1,263,Q18883,Len,"""Sugar Hill""",add label,4/3/2020,manual,
1,264,Q18884,Len,"""The Continental""",add label,4/3/2020,manual,
1,265,Q18885,Len,"""The East""",add label,4/3/2020,manual,
1,266,Q18886,Aen,"""Elks Club""",add alias,4/3/2020,manual,
1,267,Q18886,Aen,"""Elks Hall""",add alias,4/3/2020,manual,
1,268,Q18886,Len,"""The Elks Club""",add label,4/3/2020,manual,
1,269,Q18887,Len,"""The Fantasy""",add label,4/3/2020,manual,
1,270,Q18888,Len,"""The Happy Landing""",add label,4/3/2020,manual,
1,271,Q18889,Len,"""The Hole""",add label,4/3/2020,manual,
1,272,Q18890,Len,"""The Id""",add label,4/3/2020,manual,
1,273,Q18891,Len,"""The Jazz Spot""",add label,4/3/2020,manual,
1,274,Q18892,Aen,"""The Kitchen""",add alias,4/3/2020,manual,
1,275,Q18892,Len,"""The Kitchen NYC""",add label,4/3/2020,manual,
1,276,Q18893,Len,"""The Monaco""",add label,4/3/2020,manual,
1,277,Q18894,Aen,"""New Muse""",add alias,4/3/2020,manual,
1,278,Q18894,Len,"""The Muse""",add label,4/3/2020,manual,
1,279,Q18895,Len,"""The Vanguard""",add label,4/3/2020,manual,
1,280,Q18896,Len,"""Tiffany Lounge""",add label,4/3/2020,manual,
1,281,Q18897,Aen,"""Tip Top""",add alias,4/3/2020,manual,
1,282,Q18897,Len,"""Tip Top Inn""",add label,4/3/2020,manual,
1,283,Q18898,Aen,"""Tony's""",add alias,4/3/2020,manual,
1,284,Q18898,Len,"""Tony's Grand Dean""",add label,4/3/2020,manual,
1,285,Q18899,Len,"""Town & Country""",add label,4/3/2020,manual,
1,286,Q18900,Len,"""Town Hill""",add label,4/3/2020,manual,
1,287,Q18901,Aen,"""Rusty's Turbo Village""",add alias,4/3/2020,manual,
1,288,Q18901,Aen,"""Rusty's Village""",add alias,4/3/2020,manual,
1,289,Q18901,Aen,"""Turbo's Village""",add alias,4/3/2020,manual,
1,290,Q18901,Len,"""Turbo Village""",add label,4/3/2020,manual,
1,291,Q18902,Len,"""Two Steps Down""",add label,4/3/2020,manual,
1,292,Q18903,Aen,"""Up Over Jazz Cafe""",add alias,4/3/2020,manual,
1,293,Q18903,Len,"""Up Over Jazz Café""",add label,4/3/2020,manual,
1,294,Q18904,Len,"""Valhalla""",add label,4/3/2020,manual,
1,295,Q18905,Aen,"""Verona Cafe""",add alias,4/3/2020,manual,
1,296,Q18905,Aen,"""Café Verona""",add alias,4/3/2020,manual,
1,297,Q18905,Aen,"""Cafe Verona""",add alias,4/3/2020,manual,
1,298,Q18905,Len,"""Verona Café""",add label,4/3/2020,manual,
1,299,Q18906,Den,"""nightclub""",add description,4/3/2020,manual,
