batch, admin sort,QID,PROPERTY,VALUE, admin note,QID,date enhanced,method
1,224,Q18975,Len,"""Kaitlyn Greenridge""",add label,Q18975,4/3/2020,manual
1,225,Q18976,Len,"""Keisha St. Joan""",add label,Q18976,4/3/2020,manual
1,226,Q18977,Len,"""Kenny G""",add label,Q18977,4/3/2020,manual
1,227,Q18978,Len,"""Kenyatta Beasley""",add label,Q18978,4/3/2020,manual
1,228,Q18979,Len,"""Kiane Ziwadi""",add label,Q18979,4/3/2020,manual
1,229,Q18980,Len,"""Kwesi Mensah Wali""",add label,Q18980,4/3/2020,manual
1,230,Q18980,Aen,"""Mensah""",add alias,Q18980,4/3/2020,manual
1,231,Q18981,Len,"""Larry Ridley""",add label,Q18981,4/3/2020,manual
1,232,Q18982,Len,"""Lefty Morris""",add label,Q18982,4/3/2020,manual
1,233,Q18983,Len,"""Leon Thomas""",add label,Q18983,4/3/2020,manual
1,234,Q18984,Len,"""Leonard Hawkins""",add label,Q18984,4/3/2020,manual
1,235,Q18985,Len,"""Leroy Applin""",add label,Q18985,4/3/2020,manual
1,236,Q18986,Len,"""Louis Hayes""",add label,Q18986,4/3/2020,manual
1,237,Q18987,Len,"""Louis Rivera-Reyes""",add label,Q18987,4/3/2020,manual
1,238,Q18987,Aen,"""Luis Reyes Rivera""",add alias,Q18987,4/3/2020,manual
1,239,Q18988,Len,"""Lucky Emmett""",add label,Q18988,4/3/2020,manual
1,240,Q18989,Len,"""Marge Elliott""",add label,Q18989,4/3/2020,manual
1,241,Q18990,Len,"""Maurice Brown""",add label,Q18990,4/3/2020,manual
1,242,Q18991,Len,"""Maxine Gordon""",add label,Q18991,4/3/2020,manual
1,243,Q18992,Len,"""Mel Rhyne""",add label,Q18992,4/3/2020,manual
1,244,Q18993,Len,"""Melba Joyce""",add label,Q18993,4/3/2020,manual
1,245,Q18994,Len,"""Melvin Sparks""",add label,Q18994,4/3/2020,manual
1,246,Q18995,Len,"""Michael Babatunde Olatunji""",add label,Q18995,4/3/2020,manual
1,247,Q18995,Aen,"""Babatunde Olatunji""",add alias,Q18995,4/3/2020,manual
1,248,Q18995,Aen,"""Olatunji""",add alias,Q18995,4/3/2020,manual
1,249,Q18996,Len,"""Michael Howard""",add label,Q18996,4/3/2020,manual
1,250,Q18997,Len,"""Michael Ridley""",add label,Q18997,4/3/2020,manual
1,251,Q18998,Len,"""Muhal Richard Abrams""",add label,Q18998,4/3/2020,manual
1,252,Q18999,Len,"""Nat White""",add label,Q18999,4/3/2020,manual
1,253,Q19000,Len,"""Nellie Monk""",add label,Q19000,4/3/2020,manual
1,254,Q19001,Len,"""Onaje Allan Gumbs""",add label,Q19001,4/3/2020,manual
1,255,Q19002,Len,"""Orville O'Brien""",add label,Q19002,4/3/2020,manual
1,256,Q19003,Len,"""Otis Redding""",add label,Q19003,4/3/2020,manual
1,257,Q19004,Len,"""Pamela Green""",add label,Q19004,4/3/2020,manual
1,258,Q19005,Len,"""Paul Parker""",add label,Q19005,4/3/2020,manual
1,259,Q19006,Len,"""Paul Serrano""",add label,Q19006,4/3/2020,manual
1,260,Q19007,Len,"""Pete LaRoca""",add label,Q19007,4/3/2020,manual
1,261,Q19008,Len,"""Rafik Williamson""",add label,Q19008,4/3/2020,manual
1,262,Q19009,Len,"""Rashim""",add label,Q19009,4/3/2020,manual
1,263,Q19010,Len,"""Rashim Asu""",add label,Q19010,4/3/2020,manual
1,264,Q19011,Len,"""Ray Abrams""",add label,Q19011,4/3/2020,manual
1,265,Q19011,Aen,"""Ray Abramson""",add alias,Q19011,4/3/2020,manual
1,266,Q19012,Len,"""Rector Bailey""",add label,Q19012,4/3/2020,manual
1,267,Q19013,Len,"""Richard ""Dickie"" Habersham-Bey""",add label,Q19013,4/3/2020,manual
1,268,Q19013,Aen,"""Dickie Habersham-Bey""",add alias,Q19013,4/3/2020,manual
1,269,Q19013,Aen,"""Richard Habersham-Bey""",add alias,Q19013,4/3/2020,manual
1,270,Q19014,Len,"""Richard Otto""",add label,Q19014,4/3/2020,manual
1,271,Q19015,Len,"""Robin Kelley""",add label,Q19015,4/3/2020,manual
1,272,Q19016,Len,"""Roger Wareham""",add label,Q19016,4/3/2020,manual
1,273,Q19017,Len,"""Roland Alexander""",add label,Q19017,4/3/2020,manual
1,274,Q19018,Len,"""Ron Warwell""",add label,Q19018,4/3/2020,manual
1,275,Q19019,Len,"""Ron Washington""",add label,Q19019,4/3/2020,manual
1,276,Q19020,Len,"""Rosalind Blair""",add label,Q19020,4/3/2020,manual
1,277,Q19020,Aen,"""Roslyn Blair""",add alias,Q19020,4/3/2020,manual
1,278,Q19021,Len,"""Sam Pinn""",add label,Q19021,4/3/2020,manual
1,279,Q19022,Len,"""Scoby Stroman""",add label,Q19022,4/3/2020,manual
1,280,Q19022,Aen,"""C. Scoby Stroman""",add alias,Q19022,4/3/2020,manual
1,281,Q19023,Len,"""Sister Thulani""",add label,Q19023,4/3/2020,manual
1,282,Q19024,Len,"""Snoop Dogg""",add label,Q19024,4/3/2020,manual
1,283,Q19025,Len,"""Stefon Harris""",add label,Q19025,4/3/2020,manual
1,284,Q19026,Len,"""Tommy Williams""",add label,Q19026,4/3/2020,manual
1,285,Q19027,Len,"""Tony Lester""",add label,Q19027,4/3/2020,manual
1,286,Q19028,Len,"""Torrie McCartney""",add label,Q19028,4/3/2020,manual
1,287,Q19029,Len,"""Tulivu-Donna Cumberbatch""",add label,Q19029,4/3/2020,manual
1,288,Q19030,Len,"""Tupac""",add label,Q19030,4/3/2020,manual
1,289,Q19031,Len,"""Vanessa Rubin""",add label,Q19031,4/3/2020,manual
1,290,Q19032,Len,"""Viola Plummer""",add label,Q19032,4/3/2020,manual
1,291,Q19033,Len,"""Virgil Jones""",add label,Q19033,4/3/2020,manual
1,292,Q19034,Len,"""Wade E. Barnes""",add label,Q19034,4/3/2020,manual
1,293,Q19034,Aen,"""Wade Barnes""",add alias,Q19034,4/3/2020,manual
1,294,Q19035,Len,"""Walt Miller""",add label,Q19035,4/3/2020,manual
1,295,Q19036,Len,"""Walter ""Baby Sweets"" Perkins""",add label,Q19036,4/3/2020,manual
1,296,Q19036,Aen,"""Baby Sweets Perkins""",add alias,Q19036,4/3/2020,manual
1,297,Q19036,Aen,"""Walter Perkins""",add alias,Q19036,4/3/2020,manual
1,298,Q19037,Len,"""Will Smith""",add label,Q19037,4/3/2020,manual
1,299,Q19038,Len,"""Willard ""Bobo"" Jenkins""",add label,Q19038,4/3/2020,manual
1,300,Q19038,Aen,"""Bobo Jenkins""",add alias,Q19038,4/3/2020,manual
1,301,Q19038,Aen,"""Willard Jenkins""",add alias,Q19038,4/3/2020,manual
1,302,Q19039,Len,"""Willie Jones""",add label,Q19039,4/3/2020,manual
1,303,Q19040,Len,"""Willie Thomas""",add label,Q19040,4/3/2020,manual
1,304,Q19041,Len,"""Wilson Hayes""",add label,Q19041,4/3/2020,manual
1,305,Q19042,Len,"""Yoko Kanno""",add label,Q19042,4/3/2020,manual
