batch, admin sort,QID,PROPERTY,VALUE, admin note,date enhanced,method
1,150,Q101,P11,Q18807,associate Linking Lost Jazz Shrines project with Louis Armstrong,4/3/2020,manual
1,151,Q53,P11,Q18807,associate Linking Lost Jazz Shrines project with Louis Jordan,4/3/2020,manual
1,152,Q192,P11,Q18807,associate Linking Lost Jazz Shrines project with Machito,4/3/2020,manual
1,153,Q1432,P11,Q18807,associate Linking Lost Jazz Shrines project with Malcolm X,4/3/2020,manual
1,154,Q656,P11,Q18807,associate Linking Lost Jazz Shrines project with Mamie Smith,4/3/2020,manual
1,155,Q66,P11,Q18807,associate Linking Lost Jazz Shrines project with Max Roach,4/3/2020,manual
1,156,Q200,P11,Q18807,associate Linking Lost Jazz Shrines project with McCoy Tyner,4/3/2020,manual
1,157,Q41,P11,Q18807,associate Linking Lost Jazz Shrines project with Miles Davis,4/3/2020,manual
1,158,Q85,P11,Q18807,associate Linking Lost Jazz Shrines project with Nancy Wilson,4/3/2020,manual
1,159,Q25,P11,Q18807,associate Linking Lost Jazz Shrines project with Nat King Cole,4/3/2020,manual
1,160,Q1209,P11,Q18807,associate Linking Lost Jazz Shrines project with Nina Simone,4/3/2020,manual
1,161,Q23,P11,Q18807,associate Linking Lost Jazz Shrines project with Ornette Coleman,4/3/2020,manual
1,162,Q1393,P11,Q18807,associate Linking Lost Jazz Shrines project with Oscar Brown,4/3/2020,manual
1,163,Q1999,P11,Q18807,associate Linking Lost Jazz Shrines project with Pee Wee Marquette,4/3/2020,manual
1,164,Q1121,P11,Q18807,associate Linking Lost Jazz Shrines project with Percy Heath,4/3/2020,manual
1,165,Q8,P11,Q18807,associate Linking Lost Jazz Shrines project with Pharoah Sanders,4/3/2020,manual
1,166,Q447,P11,Q18807,associate Linking Lost Jazz Shrines project with Philly Joe Jones,4/3/2020,manual
1,167,Q1909,P11,Q18807,associate Linking Lost Jazz Shrines project with Roland Kirk,4/3/2020,manual
1,168,Q657,P11,Q18807,associate Linking Lost Jazz Shrines project with Randy Weston,4/3/2020,manual
1,169,Q660,P11,Q18807,associate Linking Lost Jazz Shrines project with Red Garland,4/3/2020,manual
1,170,Q1403,P11,Q18807,associate Linking Lost Jazz Shrines project with Reggie Workman,4/3/2020,manual
1,171,Q2005,P11,Q18807,associate Linking Lost Jazz Shrines project with Richie Powell,4/3/2020,manual
1,172,Q45,P11,Q18807,associate Linking Lost Jazz Shrines project with Ron Carter,4/3/2020,manual
1,173,Q187,P11,Q18807,associate Linking Lost Jazz Shrines project with Roy Hargrove,4/3/2020,manual
1,174,Q427,P11,Q18807,associate Linking Lost Jazz Shrines project with Roy Haynes,4/3/2020,manual
1,175,Q294,P11,Q18807,associate Linking Lost Jazz Shrines project with Rudy Van Gelder,4/3/2020,manual
1,176,Q848,P11,Q18807,associate Linking Lost Jazz Shrines project with Ruth Brown,4/3/2020,manual
1,177,Q1759,P11,Q18807,associate Linking Lost Jazz Shrines project with Sam Jones,4/3/2020,manual
1,178,Q93,P11,Q18807,associate Linking Lost Jazz Shrines project with Sarah Vaughan,4/3/2020,manual
1,179,Q1727,P11,Q18807,associate Linking Lost Jazz Shrines project with Shirley Scott,4/3/2020,manual
1,180,Q448,P11,Q18807,associate Linking Lost Jazz Shrines project with Sonny Stitt,4/3/2020,manual
1,181,Q52,P11,Q18807,associate Linking Lost Jazz Shrines project with Sun Ra,4/3/2020,manual
1,182,Q208,P11,Q18807,associate Linking Lost Jazz Shrines project with Symphony Sid,4/3/2020,manual
1,183,Q81,P11,Q18807,associate Linking Lost Jazz Shrines project with Teddy Reig,4/3/2020,manual
1,184,Q239,P11,Q18807,associate Linking Lost Jazz Shrines project with Teddy Wilson,4/3/2020,manual
1,185,Q71,P11,Q18807,associate Linking Lost Jazz Shrines project with Thelonious Monk,4/3/2020,manual
1,186,Q165,P11,Q18807,associate Linking Lost Jazz Shrines project with Tito Puente,4/3/2020,manual
1,187,Q898,P11,Q18807,associate Linking Lost Jazz Shrines project with Tommy Flanagan,4/3/2020,manual
1,188,Q20,P11,Q18807,associate Linking Lost Jazz Shrines project with Tony Williams,4/3/2020,manual
1,189,Q410,P11,Q18807,associate Linking Lost Jazz Shrines project with Wayne Shorter,4/3/2020,manual
1,190,Q1098,P11,Q18807,associate Linking Lost Jazz Shrines project with Wynton Kelly,4/3/2020,manual
1,191,Q34,P11,Q18807,associate Linking Lost Jazz Shrines project with Wynton Marsalis,4/3/2020,manual
1,192,Q1149,Aen,"""Jackie Mabley""","add alias for Jackie ""Moms"" Mabley",4/1/2020,manual
1,193,Q1149,Aen,"""Moms Mabley""","add alias for Jackie ""Moms"" Mabley",4/1/2020,manual
1,194,Q1177,Aen,"""Eddie Davis""",add alias for Lockjaw Davis,4/1/2020,manual
1,195,Q1177,Aen,"""Eddie ""Lockjaw"" Davis""",add alias for Lockjaw Davis,4/1/2020,manual
1,196,Q1220,Aen,"""Leon Chancler""","add alias for Leon ""Ndugu"" Chancler",4/1/2020,manual
1,197,Q1220,Aen,"""Ndugu Chancler""","add alias for Leon ""Ndugu"" Chancler",4/1/2020,manual
1,198,Q1281,Aen,"""Horacio Hernandez""","add alias for Horacio ""El Negro"" Hernandez",4/1/2020,manual
1,199,Q1281,Aen,"""El Negro Hernandez""","add alias for Horacio ""El Negro"" Hernandez",4/1/2020,manual
1,200,Q13,Aen,"""Charles Parker""",add alias for Charlie Parker,4/1/2020,manual
1,201,Q13,Aen,"""Bird""",add alias for Charlie Parker,4/1/2020,manual
1,202,Q1302,Aen,"""Mike Brecker""",add alias for Michael Brecker,4/1/2020,manual
1,203,Q1332,Aen,"""Joe Nanton""",add alias for Tricky Sam Nanton,4/1/2020,manual
1,204,Q1332,Aen,"""Joe ""Tricky Sam"" Nanton""",add alias for Tricky Sam Nanton,4/1/2020,manual
1,205,Q1393,Aen,"""Oscar Brown, Jr.""",add alias for Oscar Brown,4/1/2020,manual
1,206,Q1403,Aen,"""Reginald Workman""",add alias for Reggie Workman,4/1/2020,manual
1,207,Q1441,Aen,"""Jeff Watts""","add alias for Jeff ""Tain"" Watts",4/1/2020,manual
1,208,Q1441,Aen,"""Tain Watts""","add alias for Jeff ""Tain"" Watts",4/1/2020,manual
1,209,Q1521,Aen,"""Clifford Bigeou""","add alias for Clifford ""Boy"" Bigeou",4/1/2020,manual
1,210,Q1521,Aen,"""Boy Bigeou""","add alias for Clifford ""Boy"" Bigeou",4/1/2020,manual
1,211,Q1578,Aen,"""Willie Smith""","add alias for Willie ""the Lion"" Smith",4/1/2020,manual
1,212,Q1578,Aen,"""The Lion""","add alias for Willie ""the Lion"" Smith",4/1/2020,manual
1,213,Q1578,Aen,"""The Lion Smith""","add alias for Willie ""the Lion"" Smith",4/1/2020,manual
1,214,Q391,Aen,"""Argonne Thornton""",add alias for Sadik Hakim,4/1/2020,manual
1,215,Q395,Aen,"""Marvin Smith""","add alias for Marvin ""Smitty"" Smith",4/1/2020,manual
1,216,Q395,Aen,"""Smitty Smith""","add alias for Marvin ""Smitty"" Smith",4/1/2020,manual
1,217,Q663,Aen,"""Locksley Wellington Hampton""",add alias for Slide Hampton,4/1/2020,manual
1,218,Q663,Aen,"""Locksley Wellington ""Slide"" Hampton""",add alias for Slide Hampton,4/1/2020,manual
1,219,Q70,Aen,"""Jimmy Scott""",add alias for Little Jimmy Scott,4/1/2020,manual
1,220,Q777,Aen,"""Julian Edwin ""Cannonball"" Adderley""",add alias for Cannonball Adderley,4/1/2020,manual
1,221,Q777,Aen,"""Julian Edwin Adderley""",add alias for Cannonball Adderley,4/1/2020,manual
1,222,Q979,Aen,"""Harry ""Sweets"" Edison""",add alias for Harry Edison,4/1/2020,manual
1,223,Q979,Aen,"""Sweets Edison""",add alias for Harry Edison,4/1/2020,manual
1,224,Q1909,Aen,"""Rahsaan Roland Kirk""",add alias for Roland Kirk,4/1/2020,manual
2,225,Q18827,P1,Q18806,assign to class (78 Club),,
2,226,Q18827,P11,Q18807,associate item with Linking Lost Jazz Shrines (78 Club),,
2,227,Q18810,P1,Q18805,assign to class (All-City Chorus),,
2,228,Q18810,P8,"""Q69104743""",add wikidata QID (All-City Chorus),,
2,229,Q18810,P9,https://www.wikidata.org/wiki/Q69104743,add wikidata URI (All-City Chorus),,
2,230,Q18810,P11,Q18807,associate item with Linking Lost Jazz Shrines (All-City Chorus),,
2,231,Q18828,P1,Q18806,assign to class (Arlington Inn),,
2,232,Q18828,P8,"""Q65548903""",add wikidata QID (Arlington Inn),,
2,233,Q18828,P9,https://www.wikidata.org/wiki/Q65548903,add wikidata URI (Arlington Inn),,
2,234,Q18828,P11,Q18807,associate item with Linking Lost Jazz Shrines (Arlington Inn),,
2,235,Q18829,P1,Q18806,assign to class (Art Theater),,
2,236,Q18829,P8,"""Q45032067""",add wikidata QID (Art Theater),,
2,237,Q18829,P9,https://www.wikidata.org/wiki/Q45032067,add wikidata URI (Art Theater),,
2,238,Q18829,P11,Q18807,associate item with Linking Lost Jazz Shrines (Art Theater),,
2,239,Q18830,P1,Q18806,assign to class (Baby Grand Brooklyn),,
2,240,Q18830,P8,"""Q65548908""",add wikidata QID (Baby Grand Brooklyn),,
2,241,Q18830,P9,https://www.wikidata.org/wiki/Q65548908,add wikidata URI (Baby Grand Brooklyn),,
2,242,Q18830,P11,Q18807,associate item with Linking Lost Jazz Shrines (Baby Grand Brooklyn),,
2,243,Q18831,P1,Q18806,assign to class (Baby Grand Harlem),,
2,244,Q18831,P8,"""Q69084358""",add wikidata QID (Baby Grand Harlem),,
2,245,Q18831,P9,https://www.wikidata.org/wiki/Q69084358,add wikidata URI (Baby Grand Harlem),,
2,246,Q18831,P11,Q18807,associate item with Linking Lost Jazz Shrines (Baby Grand Harlem),,
2,247,Q18811,P1,Q18805,assign to class (Baritone Saxophones),,
2,248,Q18811,P8,"""Q69104747""",add wikidata QID (Baritone Saxophones),,
2,249,Q18811,P9,https://www.wikidata.org/wiki/Q69104747,add wikidata URI (Baritone Saxophones),,
2,250,Q18811,P11,Q18807,associate item with Linking Lost Jazz Shrines (Baritone Saxophones),,
2,251,Q18832,P1,Q18806,assign to class (Ben's),,
2,252,Q18832,P8,"""Q68931953""",add wikidata QID (Ben's),,
2,253,Q18832,P9,https://www.wikidata.org/wiki/Q68931953,add wikidata URI (Ben's),,
2,254,Q18832,P11,Q18807,associate item with Linking Lost Jazz Shrines (Ben's),,
2,255,Q18833,P1,Q18806,assign to class (Birdland (52nd Street)),,52nd Street))
2,256,Q18833,P8,"""Q256347""",add wikidata QID (Birdland (52nd Street)),,52nd Street))
2,257,Q18833,P9,https://www.wikidata.org/wiki/Q256347,add wikidata URI (Birdland (52nd Street)),,52nd Street))
2,258,Q18833,P11,Q18807,associate item with Linking Lost Jazz Shrines (Birdland (52nd Street)),,52nd Street))
2,259,Q18834,P1,Q18806,assign to class (Blue Coronet),,
2,260,Q18834,P8,"""Q65548661""",add wikidata QID (Blue Coronet),,
2,261,Q18834,P9,https://www.wikidata.org/wiki/Q65548661,add wikidata URI (Blue Coronet),,
2,262,Q18834,P11,Q18807,associate item with Linking Lost Jazz Shrines (Blue Coronet),,
2,263,Q18835,P1,Q18806,assign to class (Blue Note),,
2,264,Q18835,P8,"""Q885833""",add wikidata QID (Blue Note),,
2,265,Q18835,P9,https://www.wikidata.org/wiki/Q885833,add wikidata URI (Blue Note),,
2,266,Q18835,P11,Q18807,associate item with Linking Lost Jazz Shrines (Blue Note),,
2,267,Q18836,P1,Q18806,assign to class (Branker's),,
2,268,Q18836,P11,Q18807,associate item with Linking Lost Jazz Shrines (Branker's),,
2,269,Q18837,P1,Q18806,assign to class (Brooklyn Academy of Music),,
2,270,Q18837,P8,"""Q72912""",add wikidata QID (Brooklyn Academy of Music),,
2,271,Q18837,P9,https://www.wikidata.org/wiki/Q72912,add wikidata URI (Brooklyn Academy of Music),,
2,272,Q18837,P11,Q18807,associate item with Linking Lost Jazz Shrines (Brooklyn Academy of Music),,
2,273,Q18838,P1,Q18806,assign to class (Brooklyn Apollo),,
2,274,Q18838,P8,"""Q45032061""",add wikidata QID (Brooklyn Apollo),,
