item,itemLabel
http://base.semlab.io/entity/Q387,James P. Johnson
http://base.semlab.io/entity/Q388,Joe Harris
http://base.semlab.io/entity/Q389,Joe Jones
http://base.semlab.io/entity/Q390,Teddy Stewart
http://base.semlab.io/entity/Q391,Sadik Hakim
http://base.semlab.io/entity/Q392,Charlie Christian
http://base.semlab.io/entity/Q393,Gary Burton
http://base.semlab.io/entity/Q394,Lester Shackleford
http://base.semlab.io/entity/Q395,"Marvin ""Smitty"" Smith"
http://base.semlab.io/entity/Q396,Sonny Greer
http://base.semlab.io/entity/Q397,Joe Henderson
http://base.semlab.io/entity/Q398,Dorothy Donegan
http://base.semlab.io/entity/Q399,Al Haig
http://base.semlab.io/entity/Q400,Cat Anderson
http://base.semlab.io/entity/Q401,Sonny Murray
http://base.semlab.io/entity/Q402,Bob Bell
http://base.semlab.io/entity/Q403,Shorty McConnell
http://base.semlab.io/entity/Q103,Syd Nathan
http://base.semlab.io/entity/Q104,Joe Adams
http://base.semlab.io/entity/Q105,Lem Neal
http://base.semlab.io/entity/Q106,Tommy Dorsey
http://base.semlab.io/entity/Q107,Doc Pomus
http://base.semlab.io/entity/Q108,Johnnie Ray
http://base.semlab.io/entity/Q109,Little Willie John
http://base.semlab.io/entity/Q110,Gerald Wilson
http://base.semlab.io/entity/Q111,Jim Scott
http://base.semlab.io/entity/Q112,Ray Charles
http://base.semlab.io/entity/Q113,Mary Ann Fisher
http://base.semlab.io/entity/Q114,David Lynch
http://base.semlab.io/entity/Q115,Willard Alexander
http://base.semlab.io/entity/Q116,Earl Hines
http://base.semlab.io/entity/Q117,Dexter Gordon
http://base.semlab.io/entity/Q118,Paul Robeson
http://base.semlab.io/entity/Q119,Tommy LiPuma
http://base.semlab.io/entity/Q120,Jimmie Lunceford
http://base.semlab.io/entity/Q121,Judy Garland
http://base.semlab.io/entity/Q122,Marty Paich
http://base.semlab.io/entity/Q123,Albert Raymond Streit
http://base.semlab.io/entity/Q124,Woody Herman
http://base.semlab.io/entity/Q125,Charlie Shavers
http://base.semlab.io/entity/Q126,James Brown
http://base.semlab.io/entity/Q127,Ella Fitzgerald
http://base.semlab.io/entity/Q128,Russell Garcia
http://base.semlab.io/entity/Q129,Harry Belafonte
http://base.semlab.io/entity/Q130,Johnny Richards
http://base.semlab.io/entity/Q131,George Gershwin
http://base.semlab.io/entity/Q132,Gus Johnson
http://base.semlab.io/entity/Q133,Ray Noble
http://base.semlab.io/entity/Q134,Norman Granz
http://base.semlab.io/entity/Q135,Ted Fiorito
http://base.semlab.io/entity/Q136,Stan Kenton
http://base.semlab.io/entity/Q137,Buddy DeFranco
http://base.semlab.io/entity/Q138,Jay Johnson
http://base.semlab.io/entity/Q139,Freddie Green
http://base.semlab.io/entity/Q140,George Handy
http://base.semlab.io/entity/Q141,Gene Krupa
http://base.semlab.io/entity/Q142,Lenny Lewis
http://base.semlab.io/entity/Q143,Carl Jefferson
http://base.semlab.io/entity/Q144,Bix Beiderbecke
http://base.semlab.io/entity/Q145,Boyd Raeburn
http://base.semlab.io/entity/Q146,Jimmy Lewis
http://base.semlab.io/entity/Q147,Dodo Marmarosa
http://base.semlab.io/entity/Q148,Rob Pronk
http://base.semlab.io/entity/Q149,Jack Silverman
http://base.semlab.io/entity/Q150,Glenn Miller
http://base.semlab.io/entity/Q151,Chick Corea
http://base.semlab.io/entity/Q152,Albert Wynn
http://base.semlab.io/entity/Q153,Jimmy Rushing
http://base.semlab.io/entity/Q154,Julius Blitz
