entity-alpha-sort,wikidata-label,entity-type,wikidata-uri,loc-id,musicbrainz-id,snac-ark-id,wikidata-id,in-lj-dataset
Brownies,Brownies,Venue,https://www.wikidata.org/entity/Q65548909,,35ddbb3b-f928-4054-be0d-937e44e738c0,,Q65548909,
Flamingo Lounge,Flamingo Lounge,Venue,https://www.wikidata.org/entity/Q65548910,,,,Q65548910,
"Hargrove, Roy",Roy Hargrove,Person,https://www.wikidata.org/entity/Q648750,n92014464,8cdf780e-b909-4d25-9060-e552e95b3414,w6hc1h53,Q648750,
"Applin, Leroy",Leroy Applin,Person,https://www.wikidata.org/entity/Q65554925,,,,Q65554925,
Pure Jazz Magazine,Pure Jazz Magazine,Organization,https://www.wikidata.org/entity/Q65548282,,,,Q65548282,
"Barron, Kenny",Kenny Barron,Person,https://www.wikidata.org/entity/Q489233,n80124274,6b2e6e7c-4289-447c-a3dc-120e386da267,w6c5871b,Q489233,Yes
"Bridgewater, Cecil",Cecil Bridgewater,Person,https://www.wikidata.org/entity/Q1052278,n86140858,9f133436-9bd1-4427-9fb7-120fabdf11aa,,Q1052278,
"Sangster, Donald",Donald Sangster,Person,https://www.wikidata.org/entity/Q65554926,,,,Q65554926,
Trios,Trios,Venue,https://www.wikidata.org/entity/Q65548660,,,,Q65548660,
Town Hall Supper Club,Town Hall Supper Club,Venue,https://www.wikidata.org/entity/Q65548665,,,,Q65548665,
